Name,Type,,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,BillingLatitude,BillingLongitude,BillingGeocodeAccuracy,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,ShippingLatitude,ShippingLongitude,ShippingGeocodeAccuracy,Phone,Fax,AccountNumber,Website,Sic,Industry,AnnualRevenue,NumberOfEmployees,Ownership,TickerSymbol,Description,Rating,Site,OwnerId,CreatedDate,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,Jigsaw,JigsawCompanyId,CleanStatus,AccountSource,DunsNumber,Tradestyle,NaicsCode,NaicsDesc,YearStarted,SicDesc,DandbCompanyId,OperatingHoursId,CustomerPriority__c,SLA__c,Active__c,NumberofLocations__c,UpsellOpportunity__c,SLASerialNumber__c,SLAExpirationDate__c,Amount__c,Status__c
Sample Account for Entitlements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HIT8dAAH,25-10-2022 07:33,09-02-2023 05:29,0055g00000HLAidAAH,09-02-2023 05:29,,,,Pending,Other,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
new 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Warm,,0055g00000HLAidAAH,03-11-2022 09:41,21-02-2023 12:35,0055g00000HLAidAAH,21-02-2023 12:35,,,,Pending,Phone Inquiry,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
new 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,20-11-2022 09:22,02-12-2022 15:13,0055g00000HLAidAAH,02-12-2022 15:13,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
Created New1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,21-11-2022 07:23,02-12-2022 15:13,0055g00000HLAidAAH,02-12-2022 15:13,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,566666,
Created New2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,,0055g00000HLAidAAH,21-11-2022 07:23,21-02-2023 12:34,0055g00000HLAidAAH,21-02-2023 12:34,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
parvesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cold,,0055g00000HLAidAAH,24-11-2022 06:24,21-02-2023 12:35,0055g00000HLAidAAH,21-02-2023 12:35,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,40000,
lllllllllll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,28-11-2022 06:20,02-12-2022 15:13,0055g00000HLAidAAH,02-12-2022 15:13,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
ert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,28-11-2022 06:16,02-12-2022 15:13,0055g00000HLAidAAH,02-12-2022 15:13,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
32322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Warm,,0055g00000HLAidAAH,28-11-2022 06:18,21-02-2023 12:36,0055g00000HLAidAAH,21-02-2023 12:36,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,89999,
sss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,28-11-2022 06:42,02-12-2022 15:13,0055g00000HLAidAAH,02-12-2022 15:13,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
l1op,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,28-11-2022 08:27,02-12-2022 15:13,0055g00000HLAidAAH,02-12-2022 15:13,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
l1null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,28-11-2022 08:28,02-12-2022 15:13,0055g00000HLAidAAH,02-12-2022 15:13,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
ds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,28-11-2022 09:58,02-12-2022 15:13,0055g00000HLAidAAH,02-12-2022 15:13,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
pravesh1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,28-11-2022 09:58,02-12-2022 15:13,0055g00000HLAidAAH,02-12-2022 15:13,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
OpportunityAmount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,28-11-2022 11:34,02-12-2022 15:13,0055g00000HLAidAAH,02-12-2022 15:13,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
uytr,,,,,,,,,,,,,,,,,,,,,,,,Banking,,,,,,null,,0055g00000HLAidAAH,02-12-2022 10:02,09-02-2023 11:39,0055g00000HLAidAAH,09-02-2023 11:39,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
wew,,,,,,,,,,,,,,,,,,,,,,,,Agriculture,,,,,,Cold,,0055g00000HLAidAAH,02-12-2022 10:03,21-02-2023 12:35,0055g00000HLAidAAH,21-02-2023 12:35,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
dfdf,,,,,,,,,,,,,,,,,,,,,,,,Education,,,,,,null,,0055g00000HLAidAAH,02-12-2022 10:30,08-02-2023 07:06,0055g00000HLAidAAH,08-02-2023 07:06,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
sdasd,,,,,,,,,,,,,,,,,,,,,,,,Apparel,,,,,,,,0055g00000HLAidAAH,02-12-2022 11:36,02-12-2022 15:13,0055g00000HLAidAAH,02-12-2022 15:13,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
sdsd,,,,,,,,,,,,,,,,,,,,,,,,Agriculture,,,,,,Hot,,0055g00000HLAidAAH,02-12-2022 11:54,14-04-2023 06:48,0055g00000HLAidAAH,14-04-2023 06:48,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
dfdsf,,,,,,,,,,,,,,,,,,,,,,,,Banking,,,,,,null,,0055g00000HLAidAAH,02-12-2022 12:06,08-02-2023 11:21,0055g00000HLAidAAH,08-02-2023 11:21,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
dfdfsd,,,,,,,,,,,,,,,,,,,,,,,,Agriculture,,,,,,null,,0055g00000HLAidAAH,02-12-2022 13:37,08-02-2023 07:09,0055g00000HLAidAAH,08-02-2023 07:09,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
dfdf,,,,,,,,,,,,,,,,,,,,,,,,Agriculture,,,,,,Warm,,0055g00000HLAidAAH,02-12-2022 13:38,21-02-2023 12:35,0055g00000HLAidAAH,21-02-2023 12:35,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
Test1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,04-12-2022 09:44,04-12-2022 09:44,0055g00000HLAidAAH,04-12-2022 09:44,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
Test2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,04-12-2022 09:44,04-12-2022 09:44,0055g00000HLAidAAH,04-12-2022 09:44,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
Test3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,04-12-2022 09:44,04-12-2022 09:44,0055g00000HLAidAAH,04-12-2022 09:44,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
Test4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,04-12-2022 09:44,04-12-2022 09:44,0055g00000HLAidAAH,04-12-2022 09:44,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
Test5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,04-12-2022 09:44,04-12-2022 09:44,0055g00000HLAidAAH,04-12-2022 09:44,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
Test6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,04-12-2022 09:44,04-12-2022 09:44,0055g00000HLAidAAH,04-12-2022 09:44,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
Test7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,04-12-2022 09:44,04-12-2022 09:44,0055g00000HLAidAAH,04-12-2022 09:44,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
Test8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,04-12-2022 09:44,04-12-2022 09:44,0055g00000HLAidAAH,04-12-2022 09:44,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
Test9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,04-12-2022 09:44,04-12-2022 09:44,0055g00000HLAidAAH,04-12-2022 09:44,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
Test10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,04-12-2022 09:44,04-12-2022 09:44,0055g00000HLAidAAH,04-12-2022 09:44,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
Test11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,04-12-2022 09:44,04-12-2022 09:44,0055g00000HLAidAAH,04-12-2022 09:44,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
Test12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,04-12-2022 09:44,04-12-2022 09:44,0055g00000HLAidAAH,04-12-2022 09:44,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
Test13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,04-12-2022 09:44,04-12-2022 09:44,0055g00000HLAidAAH,04-12-2022 09:44,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
Test14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,04-12-2022 09:44,04-12-2022 09:44,0055g00000HLAidAAH,04-12-2022 09:44,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
Test15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,04-12-2022 09:44,04-12-2022 09:44,0055g00000HLAidAAH,04-12-2022 09:44,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
Test16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,04-12-2022 09:44,04-12-2022 09:44,0055g00000HLAidAAH,04-12-2022 09:44,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
Test17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,04-12-2022 09:44,04-12-2022 09:44,0055g00000HLAidAAH,04-12-2022 09:44,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
Test18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,04-12-2022 09:44,04-12-2022 09:44,0055g00000HLAidAAH,04-12-2022 09:44,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
Test19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,04-12-2022 09:44,04-12-2022 09:44,0055g00000HLAidAAH,04-12-2022 09:44,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
Test20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,04-12-2022 09:44,04-12-2022 09:44,0055g00000HLAidAAH,04-12-2022 09:44,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
Test21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,04-12-2022 09:44,04-12-2022 09:44,0055g00000HLAidAAH,04-12-2022 09:44,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
Test22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,04-12-2022 09:44,04-12-2022 09:44,0055g00000HLAidAAH,04-12-2022 09:44,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
Test23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,04-12-2022 09:44,04-12-2022 09:44,0055g00000HLAidAAH,04-12-2022 09:44,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
Test24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,04-12-2022 09:44,04-12-2022 09:44,0055g00000HLAidAAH,04-12-2022 09:44,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
Test25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,04-12-2022 09:44,04-12-2022 09:44,0055g00000HLAidAAH,04-12-2022 09:44,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
Test26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,04-12-2022 09:44,04-12-2022 09:44,0055g00000HLAidAAH,04-12-2022 09:44,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
Test27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,04-12-2022 09:44,04-12-2022 09:44,0055g00000HLAidAAH,04-12-2022 09:44,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
Test28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,04-12-2022 09:44,04-12-2022 09:44,0055g00000HLAidAAH,04-12-2022 09:44,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
a1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,26-12-2022 06:25,26-12-2022 06:25,0055g00000HLAidAAH,26-12-2022 06:25,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
a2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,26-12-2022 06:25,26-12-2022 06:25,0055g00000HLAidAAH,26-12-2022 06:25,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
a3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,26-12-2022 06:25,26-12-2022 06:25,0055g00000HLAidAAH,26-12-2022 06:25,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
a1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,26-12-2022 07:10,26-12-2022 07:10,0055g00000HLAidAAH,26-12-2022 07:10,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
a2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,26-12-2022 07:10,26-12-2022 07:10,0055g00000HLAidAAH,26-12-2022 07:10,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
a3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,26-12-2022 07:10,26-12-2022 07:10,0055g00000HLAidAAH,26-12-2022 07:10,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
theasc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,26-12-2022 07:12,26-12-2022 07:12,0055g00000HLAidAAH,26-12-2022 07:12,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
tempwww,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,30-12-2022 17:03,30-12-2022 17:03,0055g00000HLAidAAH,30-12-2022 17:03,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
newlycr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,01-01-2023 03:41,09-02-2023 11:47,0055g00000HLAidAAH,09-02-2023 11:47,,,,Pending,Other,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
seqLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,01-01-2023 06:30,01-01-2023 06:30,0055g00000HLAidAAH,01-01-2023 06:30,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
Trigger2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cold,,0055g00000HLAidAAH,01-01-2023 06:47,21-02-2023 12:35,0055g00000HLAidAAH,21-02-2023 12:35,,,,Pending,Web,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
Trigfgddffdger2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,,0055g00000HLAidAAH,01-01-2023 10:00,21-02-2023 12:34,0055g00000HLAidAAH,21-02-2023 12:34,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
atul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,,0055g00000HLAidAAH,02-01-2023 06:36,21-04-2023 05:51,0055g00000HLAidAAH,21-04-2023 05:51,,,,Pending,Other,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
seqvbbLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,02-01-2023 12:38,02-01-2023 12:38,0055g00000HLAidAAH,02-01-2023 12:38,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
Trigger2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,02-01-2023 12:38,02-01-2023 12:38,0055g00000HLAidAAH,02-01-2023 12:38,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
Triggvcvcxer3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,02-01-2023 12:38,02-01-2023 12:38,0055g00000HLAidAAH,02-01-2023 12:38,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
seqvbbLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,02-01-2023 12:40,02-01-2023 12:40,0055g00000HLAidAAH,02-01-2023 12:40,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
Trigger2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,02-01-2023 12:40,02-01-2023 12:40,0055g00000HLAidAAH,02-01-2023 12:40,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
Triggvcvcxer3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,02-01-2023 12:40,02-01-2023 12:40,0055g00000HLAidAAH,02-01-2023 12:40,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
atul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,,0055g00000HLAidAAH,02-01-2023 12:43,21-04-2023 05:51,0055g00000HLAidAAH,21-04-2023 05:51,,,,Pending,Other,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
atul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,,0055g00000HLAidAAH,02-01-2023 12:43,21-04-2023 05:51,0055g00000HLAidAAH,21-04-2023 05:51,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
atul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Warm,,0055g00000HLAidAAH,02-01-2023 12:43,21-04-2023 05:51,0055g00000HLAidAAH,21-04-2023 05:51,,,,Pending,Purchased List,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
seqvbbLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,02-01-2023 12:45,02-01-2023 12:45,0055g00000HLAidAAH,02-01-2023 12:45,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
